,retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,sales_method
2483,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,31,68,2108,716.72,Outlet
2484,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Women's Street Footwear,31,96,2976,1011.84,Outlet
2485,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Athletic Footwear,37,85,3145,1352.35,Outlet
2486,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Street Footwear,34,186,6324,2782.56,Outlet
2487,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,36,124,4464,1785.6,Outlet
2488,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Men's Apparel,56,83,4648,1998.64,Online
2489,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Athletic Footwear,50,250,125000,50000,In-store
2490,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,42,58,2436,1047.48,Online
2491,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Women's Street Footwear,39,90,3510,1544.4,Online
2492,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Athletic Footwear,45,75,3375,1721.25,Online
2493,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Street Footwear,49,180,8820,4674.6,Online
2494,Kohl's,1189833,2021-02-19,Midwest,Montana,Billings,Women's Apparel,60,450,270000,67500,Outlet
2495,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,50,375,187500,65625,In-store
2496,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Men's Apparel,60,275,165000,49500,In-store
2497,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Athletic Footwear,45,200,90000,27000,In-store
2498,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Women's Street Footwear,40,300,120000,36000,In-store
2499,Amazon,1185732,2021-02-19,Northeast,New Hampshire,Manchester,Women's Apparel,46,98,4508,2163.84,Online
2500,Amazon,1185732,2021-02-19,Northeast,Vermont,Burlington,Men's Street Footwear,50,600,300000,120000,In-store
2501,Kohl's,1189833,2021-02-19,Midwest,Montana,Billings,Women's Apparel,59,122,7198,2879.2,Online
2502,Kohl's,1189833,2021-02-20,Midwest,Montana,Billings,Men's Street Footwear,45,550,247500,111375,Outlet
2503,Kohl's,1189833,2021-02-20,Midwest,Montana,Billings,Men's Street Footwear,44,160,7040,3942.4,Online
2504,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Apparel,35,325,113750,39812.5,Online
2505,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20,425,85000,34000,Online
2506,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Athletic Footwear,18,70,1260,630,Online
2507,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,14,120,1680,840,Online
2508,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Athletic Footwear,20,250,50000,20000,Online
2509,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,24,105,2520,1134,Online
2510,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25,350,87500,30625,Online
2511,Kohl's,1189833,2021-02-21,Midwest,Montana,Billings,Men's Athletic Footwear,49,160,7840,3371.2,Online
2512,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Street Footwear,25,625,156250,62500,Online
2513,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Athletic Footwear,25,275,68750,24062.5,Online
2514,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15,325,48750,19500,Online
2515,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15,400,60000,24000,Online
2516,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Men's Apparel,35,250,87500,30625,Online
2517,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20,350,70000,28000,Online
2518,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Street Footwear,24,189,4536,2313.36,Online
2519,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,20,175,35000,14000,Online
2520,Kohl's,1189833,2021-02-21,Midwest,Montana,Billings,Men's Athletic Footwear,50,550,275000,82500,Outlet
2521,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Street Footwear,17,210,3570,1606.5,Outlet
2522,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,14,112,1568,721.28,Outlet
2523,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,18,98,1764,899.64,Online
2524,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Men's Apparel,34,75,2550,1198.5,Online
2525,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,19,49,931,474.81,Online
2526,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15,91,1365,682.5,Online
2527,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Street Footwear,25,700,175000,70000,Online
2528,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Street Footwear,24,169,4056,2109.12,Online
2529,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,19,115,2185,1179.9,Online
2530,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Apparel,34,98,3332,1499.4,Online
2531,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Men's Apparel,24,85,2040,816,Outlet
2532,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Athletic Footwear,23,80,1840,846.4,Online
2533,West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Athletic Footwear,15,58,870,400.2,Outlet
2534,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,17,112,1904,742.56,Outlet
2535,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,12,98,1176,552.72,Outlet
2536,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Athletic Footwear,17,83,1411,550.29,Outlet
2537,West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Street Footwear,18,206,3708,1631.52,Outlet
2538,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,16,145,2320,974.4,Outlet
2539,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Men's Apparel,23,111,2553,944.61,Outlet
2540,Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Athletic Footwear,15,78,1170,549.9,Outlet
2541,Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,11,136,1496,628.32,Outlet
2542,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Women's Street Footwear,45,275,123750,30937.5,Outlet
2543,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,55,225,123750,43312.5,Outlet
2544,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Street Footwear,55,575,316250,110687.5,Outlet
2545,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Street Footwear,52,173,8996,4048.2,Online
2546,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,53,59,3127,1438.42,Online
2547,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,30,50,15000,5250,In-store
2548,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Apparel,35,225,78750,23625,In-store
2549,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Men's Apparel,45,125,56250,16875,In-store
2550,West Gear,1185732,2021-02-22,Northeast,West Virginia,Charleston,Women's Street Footwear,25,175,43750,15312.5,In-store
2551,Foot Locker,1185732,2021-02-22,Northeast,West Virginia,Charleston,Men's Street Footwear,35,475,166250,66500,In-store
2552,West Gear,1185732,2021-02-22,Northeast,West Virginia,Charleston,Men's Athletic Footwear,35,125,43750,15312.5,In-store
2553,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Women's Street Footwear,43,83,3569,1427.6,Online
2554,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Apparel,52,102,5304,2333.76,Online
2555,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Street Footwear,41,184,7544,2791.28,Outlet
2556,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Men's Apparel,41,31,1271,571.95,Online
2557,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,60,75,4500,1710,Online
2558,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Athletic Footwear,49,46,2254,879.06,Online
2559,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Street Footwear,43,77,3311,1225.07,Online
2560,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,53,65,3445,1653.6,Online
2561,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Men's Street Footwear,40,550,220000,88000,Online
2562,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Men's Athletic Footwear,40,200,80000,28000,Online
2563,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Women's Street Footwear,30,250,75000,30000,Online
2564,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,35,125,43750,17500,Online
2565,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Men's Apparel,50,200,100000,35000,Online
2566,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Apparel,40,300,120000,48000,Online
2567,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Apparel,34,63,2142,921.06,Online
2568,Kohl's,1189833,2021-02-22,Midwest,Montana,Billings,Women's Street Footwear,41,116,4756,2710.92,Online
2569,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Apparel,39,78,3042,1551.42,Online
2570,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Men's Apparel,48,54,2592,1218.24,Online
2571,Amazon,1185732,2021-02-22,Southeast,Kentucky,Louisville,Women's Athletic Footwear,34,34,1156,624.24,Online
2572,Foot Locker,1185732,2021-02-22,Northeast,West Virginia,Charleston,Men's Street Footwear,32,138,4416,2340.48,Online
2573,West Gear,1185732,2021-02-22,Northeast,West Virginia,Charleston,Men's Athletic Footwear,34,38,1292,594.32,Online
2574,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Women's Street Footwear,29,63,1827,968.31,Online
2575,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Men's Athletic Footwear,38,58,2204,1013.84,Online
2576,Amazon,1185732,2021-02-22,Midwest,Ohio,Columbus,Men's Street Footwear,38,138,5244,2779.32,Online
2577,West Gear,1185732,2021-02-22,Northeast,West Virginia,Charleston,Women's Street Footwear,24,46,1104,518.88,Online
2578,West Gear,1185732,2021-02-22,Northeast,Maryland,Baltimore,Women's Athletic Footwear,28,14,392,196,Online
2579,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Men's Athletic Footwear,42,70,2940,1234.8,Outlet
2580,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,51,173,8823,4146.81,Online
2581,Foot Locker,1185732,2021-02-22,Northeast,New Hampshire,Manchester,Women's Street Footwear,29,83,2407,649.89,Outlet
2582,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Athletic Footwear,50,175,87500,21875,Outlet
2583,Kohl's,1189833,2021-02-22,Midwest,Montana,Billings,Women's Street Footwear,45,400,180000,81000,Outlet
2584,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Apparel,55,350,192500,57750,Outlet
2585,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Apparel,65,250,162500,40625,Outlet
2586,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Women's Street Footwear,45,275,123750,30937.5,Outlet
2587,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Athletic Footwear,55,225,123750,43312.5,Outlet
2588,Amazon,1185732,2021-02-22,West,Alaska,Anchorage,Men's Street Footwear,55,575,316250,110687.5,Outlet
2589,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Street Footwear,21,162,3402,1258.74,Outlet
2590,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Athletic Footwear,28,128,3584,1541.12,Outlet
2591,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Women's Street Footwear,28,124,3472,1458.24,Outlet
2592,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Athletic Footwear,26,68,1768,742.56,Outlet
2593,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Men's Apparel,36,51,1836,679.32,Outlet
2594,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Apparel,31,116,3596,970.92,Outlet
2595,Kohl's,1189833,2021-02-23,Midwest,Montana,Billings,Women's Athletic Footwear,44,105,4620,2402.4,Online
2596,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Athletic Footwear,40,375,150000,60000,Online
2597,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Men's Apparel,45,150,67500,20250,Online
2598,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Apparel,40,350,140000,35000,Online
2599,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Athletic Footwear,38,113,4294,2318.76,Online
2600,Kohl's,1189833,2021-02-23,Midwest,Montana,Billings,Women's Athletic Footwear,45,375,168750,67500,Outlet
2601,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Apparel,38,88,3344,1203.84,Online
2602,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Men's Apparel,42,44,1848,813.12,Online
2603,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Street Footwear,29,143,4147,2073.5,Online
2604,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Athletic Footwear,38,63,2394,1149.12,Online
2605,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Women's Street Footwear,40,375,150000,52500,Online
2606,Foot Locker,1128299,2021-02-23,West,Arizona,Phoenix,Women's Athletic Footwear,40,225,90000,31500,Online
2607,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Women's Street Footwear,38,105,3990,1875.3,Online
2608,Foot Locker,1128299,2021-02-23,West,Idaho,Boise,Men's Street Footwear,30,475,142500,49875,Online
2609,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Street Footwear,22,153,3366,1380.06,Outlet
2610,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Street Footwear,29,117,3393,1526.85,Online
2611,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Athletic Footwear,40,350,140000,49000,In-store
2612,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Women's Street Footwear,40,350,140000,49000,In-store
2613,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Athletic Footwear,40,200,80000,28000,In-store
2614,West Gear,1128299,2021-02-24,West,Oregon,Portland,Men's Apparel,45,125,56250,22500,In-store
2615,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Apparel,40,325,130000,39000,In-store
2616,Kohl's,1189833,2021-02-24,Midwest,Montana,Billings,Men's Apparel,55,350,192500,115500,Outlet
2617,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Men's Apparel,29,39,1131,508.95,Outlet
2618,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Apparel,30,107,3210,1155.6,Outlet
2619,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Athletic Footwear,39,91,3549,1703.52,Online
2620,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Athletic Footwear,29,123,3567,1498.14,Outlet
2621,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Women's Street Footwear,36,88,3168,1425.6,Online
2622,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Apparel,38,81,3078,1323.54,Online
2623,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Women's Street Footwear,28,123,3444,1274.28,Outlet
2624,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Athletic Footwear,29,64,1856,760.96,Outlet
2625,West Gear,1128299,2021-02-24,West,Oregon,Portland,Men's Apparel,32,43,1376,605.44,Outlet
2626,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Apparel,28,98,2744,960.4,Outlet
2627,Kohl's,1189833,2021-02-24,Midwest,Montana,Billings,Men's Apparel,54,98,5292,3969,Online
2628,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Men's Apparel,42,38,1596,877.8,Online
2629,West Gear,1128299,2021-02-24,West,Utah,Salt Lake City,Men's Street Footwear,30,450,135000,47250,In-store
2630,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Athletic Footwear,40,200,80000,28000,In-store
2631,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Athletic Footwear,28,64,1792,734.72,Outlet
2632,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Apparel,40,325,130000,39000,In-store
2633,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Men's Apparel,45,125,56250,22500,In-store
2634,Foot Locker,1128299,2021-02-24,Southeast,Virginia,Richmond,Women's Athletic Footwear,38,58,2204,1102,Online
2635,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Women's Street Footwear,40,350,140000,49000,In-store
2636,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,40,350,140000,49000,In-store
2637,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Apparel,37,85,3145,1258,Online
2638,West Gear,1128299,2021-02-24,West,Oregon,Portland,Men's Apparel,42,38,1596,829.92,Online
2639,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Street Footwear,30,450,135000,47250,In-store
2640,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Street Footwear,27,113,3051,1403.46,Online
2641,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Men's Athletic Footwear,36,105,3780,1701,Online
2642,Foot Locker,1128299,2021-02-24,West,Wyoming,Cheyenne,Women's Street Footwear,39,88,3432,1544.4,Online
2643,West Gear,1128299,2021-02-24,West,Oregon,Portland,Women's Athletic Footwear,39,58,2262,1085.76,Online
2644,Kohl's,1189833,2021-02-25,Midwest,Montana,Billings,Women's Apparel,60,400,240000,60000,Outlet
2645,Kohl's,1189833,2021-02-25,Midwest,Montana,Billings,Women's Apparel,58,108,6264,2442.96,Online
2646,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Athletic Footwear,44,106,4664,2565.2,Online
2647,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Men's Apparel,34,62,2108,674.56,Outlet
2648,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Apparel,35,140,4900,1372,Outlet
2649,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Street Footwear,33,147,4851,2376.99,Online
2650,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Athletic Footwear,29,91,2639,976.43,Outlet
2651,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Women's Street Footwear,35,132,4620,1848,Outlet
2652,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Athletic Footwear,36,136,4896,2301.12,Outlet
2653,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Women's Street Footwear,41,111,4551,2093.46,Online
2654,Kohl's,1189833,2021-02-26,Midwest,Montana,Billings,Men's Street Footwear,38,167,6346,3744.14,Online
2655,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Men's Apparel,45,54,2430,1069.2,Online
2656,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Apparel,41,104,4264,1620.32,Online
2657,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Apparel,45,400,180000,45000,Online
2658,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Athletic Footwear,45,275,123750,43312.5,Online
2659,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Women's Street Footwear,45,425,191250,66937.5,Online
2660,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Street Footwear,27,173,4671,1868.4,Outlet
2661,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Athletic Footwear,45,425,191250,76500,Online
2662,Kohl's,1128299,2021-02-26,West,Arizona,Phoenix,Men's Street Footwear,35,525,183750,64312.5,Online
2663,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Women's Athletic Footwear,43,74,3182,1559.18,Online
2664,Kohl's,1189833,2021-02-26,Midwest,Montana,Billings,Men's Street Footwear,40,575,230000,103500,Outlet
2665,Kohl's,1128299,2021-02-26,West,New Mexico,Albuquerque,Men's Apparel,50,200,100000,30000,Online
2666,Kohl's,1189833,2021-02-27,Midwest,Montana,Billings,Men's Athletic Footwear,42,173,7266,2979.06,Online
2667,Kohl's,1189833,2021-02-27,Midwest,Montana,Billings,Men's Athletic Footwear,45,575,258750,77625,Outlet
2668,Kohl's,1189833,2021-02-28,Midwest,Montana,Billings,Women's Street Footwear,40,425,170000,76500,Outlet
2669,Kohl's,1189833,2021-02-28,Midwest,Montana,Billings,Women's Street Footwear,37,123,4551,2594.07,Online
2670,Kohl's,1189833,2021-01-03,Midwest,Montana,Billings,Women's Athletic Footwear,39,119,4641,2552.55,Online
2671,Kohl's,1189833,2021-01-03,Midwest,Montana,Billings,Women's Athletic Footwear,40,425,170000,68000,Outlet
2672,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Street Footwear,19,181,3439,1788.28,Online
2673,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,29,150,4350,1957.5,Online
2674,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,30,920,276000,110400,Online
2675,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,30,600,180000,63000,Online
2676,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Street Footwear,20,625,125000,50000,Online
2677,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,25,475,118750,47500,Online
2678,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,15,75,11250,3375,In-store
2679,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Apparel,30,625,187500,93750,Online
2680,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,30,125,37500,18750,In-store
2681,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,20,225,45000,18000,In-store
2682,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,28,276,7728,4173.12,Online
2683,Kohl's,1189833,2021-02-03,Midwest,Montana,Billings,Men's Apparel,51,113,5763,4264.62,Online
2684,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Apparel,40,525,210000,73500,Online
2685,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Apparel,18,63,1134,612.36,Online
2686,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,25,124,3100,1674,Online
2687,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Athletic Footwear,14,20,280,114.8,Online
2688,Kohl's,1189833,2021-02-03,Midwest,Montana,Billings,Men's Apparel,55,375,206250,123750,Outlet
2689,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Women's Apparel,27,169,4563,2829.06,Online
2690,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Apparel,29,34,986,601.46,Online
2691,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,19,44,836,418,Online
2692,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,19,141,2679,1098.39,Online
2693,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,9,59,531,233.64,Online
2694,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Street Footwear,20,470,94000,28200,In-store
2695,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,20,175,35000,12250,In-store
2696,West Gear,1185732,2021-02-03,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,10,225,22500,6750,In-store
2697,Sports Direct,1185732,2021-02-03,Southeast,North Carolina,Charlotte,Men's Apparel,37,158,5846,2630.7,Online
2698,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Street Footwear,40,520,208000,83200,In-store
2699,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,27,34,918,293.76,Outlet
2700,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,32,30,960,403.2,Online
2701,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,48,39,1872,748.8,Online
2702,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,38,73,2774,1359.26,Online
2703,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,32,68,2176,979.2,Outlet
2704,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,29,85,2465,961.35,Outlet
2705,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Street Footwear,26,182,4732,2034.76,Outlet
2706,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,50,150,75000,22500,In-store
2707,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Apparel,40,250,100000,35000,In-store
2708,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Apparel,39,53,2067,702.78,Outlet
2709,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Street Footwear,23,75,1725,552,Outlet
2710,Kohl's,1189833,2021-03-03,Midwest,Montana,Billings,Women's Apparel,60,475,285000,71250,Outlet
2711,Kohl's,1189833,2021-03-03,Midwest,Montana,Billings,Women's Apparel,56,133,7448,2830.24,Online
2712,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Street Footwear,30,250,75000,22500,In-store
2713,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Street Footwear,39,130,5070,2535,Online
2714,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,40,225,90000,36000,In-store
2715,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Street Footwear,29,68,1972,887.4,Online
2716,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Men's Athletic Footwear,38,56,2128,1149.12,Online
2717,Sports Direct,1185732,2021-03-03,Northeast,Connecticut,Hartford,Women's Athletic Footwear,35,100,35000,10500,In-store
